DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
ABW,BOG,4473,34541275,1356311290
BIH,BOG,1600,272,108797552
BIH,BOG,32960,9098,3637844398
BIH,BOG,9900,1188,475022988
AGO,BOG,1,160827,640493527
AGO,BOG,40,1474,589380374
AIA,BOG,18,148121,573443045
ATG,BOG,6,65748,260149056
ATG,BOG,10,179132,708782332
ATG,BOG,259,178248,7052845564
ATG,BOG,396,1039644,4113621793
ATG,BOG,12,13226,523321077
ATG,BOG,12,130884,517876575
ATG,BOG,210,38727,1532334445
ATG,BOG,276,91992,3639902659
SAU,BOG,11,3044,1204437744
SAU,BOG,2,736,291217536
SAU,BOG,7,2372,938543472
SAU,BOG,3,744,294382944
SAU,BOG,3,588,232657488
SAU,BOG,210,21,8222403
SAU,BOG,5500,85998,336719149
SAU,BOG,30001,2409907,9537567496
SAU,BOG,60,6,2349258
SAU,BOG,319,2526,992073552
SAU,BOG,2088,142128,568430987
SAU,BOG,70,7,2740801
SAU,BOG,23307,1814027,7206974383
SAU,BOG,2205,13771,539264539
SAU,BOG,4,1120766,441921396
SAU,BOG,4,224848,886582409
SAU,BOG,532,68634,2715078679
SAU,BOG,3,1127425,4309074721
SAU,BOG,1,50,1999255
SAU,BOG,3750,1395,557987445
SAU,BOG,800,152,60798632
SAU,BOG,1560,14745,589786729
SAU,BOG,500,150,5999865
SAU,BOG,109,1630,65198533
SAU,BOG,2846,1047213,4170525772
SAU,BOG,3960,1859616,7107545332
SAU,BOG,180,2466,986259438
SAU,BOG,1,48782,194274315
SAU,BOG,6,1369304,5539135926
SAU,BOG,44004,22079007,8639590057
SAU,BOG,12960,323738,1289497015
SAU,BOG,238,107773,418029453
SAU,BOG,164,8768,340089257
SAU,BOG,328,71592,277082665
SAU,BOG,1375,37305,144714329
SAU,BOG,180,99975,387999722
SAU,BOG,3976,159205,617645961
SAU,BOG,44,14674,56084761
SAU,BOG,4288,176715,7050133282
SAU,BOG,15768,22374,8764763718
SAU,BOG,1276,341185,1320880668
SAU,BOG,258,341184,1320876796
SAU,BOG,134,341184,1320876796
SAU,BOG,1,6000,23937300
SAU,BOG,111,341184,1320876796
SAU,BOG,600,156,61348404
SAU,BOG,3,288,112764384
SAU,BOG,5,1160,45418988
SAU,BOG,3,336,131558448
SAU,BOG,6,963,377055909
SAU,BOG,6,612,239624316
SAU,BOG,4,928,363351904
SAU,BOG,3797,847952,3320096699
ARG,BOG,21710,72346,2893427627
ARG,BOG,184,368,147145168
ARG,BOG,20971,3054,1221144954
ARG,BOG,3800,1000,4023210
ARG,BOG,143,1047,41174217
ARG,BOG,143,1047,41174217
ARG,BOG,143,1047,41174217
ARG,BOG,143,1047,41174217
ARG,BOG,142,1047,41174217
ARG,BOG,143,1047,41174217
ARG,BOG,143,1047,41174217
ARG,BOG,2,396894,1580630355
ARG,BOG,7000,91000,363948130
ARG,BOG,75,22378,892781499
ARG,BOG,1043,230721,8932248154
ARG,BOG,2,1526558,6038880261
ARG,BOG,600,4899329,1896750726
ARG,BOG,400,92,36786292
ARG,BOG,900,54,21591954
ARG,BOG,6226,5700,23057754
ARG,BOG,89,8857,35828513
ARG,BOG,1,248652,976150562
ARG,BOG,93,354476,1394008772
ARG,BOG,93,205079,806491624
ARG,BOG,591,48972,193098065
ARG,BOG,1,435,1707709
ARG,BOG,1,14602,57656581
ARG,BOG,1,59658,235561999
ARG,BOG,8,2064,81027892
ARG,BOG,3,157242,620876326
ARG,BOG,7,158381,625373713
ARG,BOG,4,59836,234902373
ARG,BOG,3,96345,37299485
ARG,BOG,1,11541,459620325
ARG,BOG,237,92306,369215692
ARG,BOG,215479,184478148,7224103382
AUS,BOG,137680,2324153,9124090122
AUS,BOG,11680,32704,1303978726
AUS,BOG,5200,728,285796056
AUS,BOG,9450,5202,2059498854
AUS,BOG,3965,26567,1058030775
AUS,BOG,3,7992,305458236
AUS,BOG,440,7918,31084246
AUS,BOG,1800,378,148394106
AUS,BOG,126304,84841,3379344291
AUS,BOG,12100,4114,1655148594
AUS,BOG,577600,1074986,4301577832
AUS,BOG,4858,643068,2543899839
AUS,BOG,65120,116952,4599242656
AUS,BOG,4020,7236,286247476
AUS,BOG,300,935,37822807
AUS,BOG,632,1295384,5240113264
AUS,BOG,1,1019,41220791
AUS,BOG,445,624569,252651901
AUS,BOG,1,146143,584354246
AUS,BOG,5320,9576,381426444
AUS,BOG,12,750,2993160
AUS,BOG,800,144,56629296
AUS,BOG,31100,5586,2196744774
AUS,BOG,56150,14827,5905816504
AUS,BOG,340000,69560,277067914
AUS,BOG,5,5,1999255
AUS,BOG,270,378,151143678
AUS,BOG,46,19,7597169
AUS,BOG,1079,501607,1972614672
AUS,BOG,3650,10755,43019032
AUS,BOG,31800,67455,269813929
AUS,BOG,252980,497292,1987992268
AUS,BOG,175,9175,355205537
AUS,BOG,31,2652211,1038454652
AUS,BOG,48,7222,2847656266
AUS,BOG,5,552,217655256
AUS,BOG,8,8602,33917944
AUS,BOG,23,25392,1001214177
AUS,BOG,7762,6972,282032738
AUS,BOG,22260,3339,1321162164
AUS,BOG,28250,68075,2695959372
AUS,BOG,440,5676,224535748
AUS,BOG,420,6945,275331629
AUS,BOG,750,13275,52514307
AUS,BOG,75,26925,106512069
AUS,BOG,19800,2844,1129755672
AUS,BOG,1800,378,149532264
AUS,BOG,45,9045,35780934
AUS,BOG,612,684,270582192
AUS,BOG,360,612,24209985
AUS,BOG,7150,1287,509121756
AUS,BOG,43500,14495,5773575925
AUS,BOG,319070,7254617,2889570855
AUS,BOG,110846,4076503,1590739542
AUS,BOG,26500,54675,2186185342
AUS,BOG,63500,12575,500799375
AUS,BOG,2448,62892,2473284502
AUS,BOG,961,64175,253925073
AUS,BOG,24075,528975,2064233794
AUS,BOG,26850,5997,238830525
AUS,BOG,2600,840,3345300
AUS,BOG,800,200,798176
AUS,BOG,300,75,299316
AUS,BOG,28660,68933,2706510173
AUS,BOG,131,837197,3340039291
AUS,BOG,4000,13833,55187445
AUS,BOG,168,91347,351211859
AUS,BOG,422,1135624,440065003
AUS,BOG,25,16375,65213437
AUS,BOG,303,318704,1250904149
AUS,BOG,27673,3293,131236644
AUS,BOG,1489,4229246,1666892692
AUS,BOG,22,30077,119993695
AUS,BOG,673,1394696,5507185441
AUS,BOG,4147,5435181,2151085735
AUS,BOG,310,4727,1858935293
AUS,BOG,110,6255,249546352
AUS,BOG,120,9928,396082524
AUS,BOG,273,298846,1192261059
AUT,BOG,32439,7513,299205225
AUT,BOG,5561,2087,83114775
AUT,BOG,7520,12784,494926168
AUT,BOG,24480,41822,1619117819
AUT,BOG,16000,26032,1030214681
AUT,BOG,63200,107942,4276688489
AZE,BOG,6,504,201524904
AZE,BOG,7,2064,825292464
AZE,BOG,1,368,147145168
AZE,BOG,2,736,294290336
AZE,BOG,2,496,198326096
AZE,BOG,2,496,198326096
AZE,BOG,2,392,156741592
AZE,BOG,2,256,102361856
AZE,BOG,2,208,83169008
AZE,BOG,5080,350898,1388145492
AZE,BOG,900,636,254305236
AZE,BOG,1776,158724,628032774
AZE,BOG,2532,221688,886625637
AZE,BOG,600,204,81598164
AZE,BOG,6800,1008,403190928
AZE,BOG,52300,8019,3207527829
AZE,BOG,7200,100544,400481833
AZE,BOG,50900,735612,2930052937
BHS,BOG,775,20225,80688648
BHS,BOG,2,3658,14473828
BHS,BOG,222,449799,1779746691
BHS,BOG,36,121968,482598103
BHS,BOG,24,13398,53357535
BHS,BOG,12,35112,13983354
BHS,BOG,51,133518,531735435
BHS,BOG,80,516388,2030742284
BHS,BOG,32,1120,44045008
BHR,BOG,800,256,101293056
BHR,BOG,732,40176,158966789
BHR,BOG,180,648,25639804
BHR,BOG,30,432,170932032
BHR,BOG,3312,21705,868076281
BHR,BOG,3605,21049,839760379
BHR,BOG,240,672,26809776
BHR,BOG,27,7277,28985382
BHR,BOG,8,3876,15438689
BHR,BOG,1025,25627,102076185
BHR,BOG,396,2189,8719115
BHR,BOG,250,45,17952975
BHR,BOG,11000,1320,5266206
BHR,BOG,108,108,42870762
BHR,BOG,2930,8999,358639195
BHR,BOG,14125,353125,1382636218
BHR,BOG,13045,2692,1076332316
BHR,BOG,250,25,9857575
BHR,BOG,180,18,7097454
BHR,BOG,6696,43501,171525748
BHR,BOG,407,150419,593106629
BHR,BOG,28,212,83592236
BRB,BOG,1,1,3943
BRB,BOG,4,51736,204706935
BRB,BOG,16,288872,1148689813
BRB,BOG,448,3226598,1283556892
BRB,BOG,3889,6107598,2431535462
BRB,BOG,10,915,363492351
BRB,BOG,12,141568,562620914
BRB,BOG,3511,4702979,187326708
BRB,BOG,123,101821,39419491
BEL,BOG,54445,1591699,6232186015
BEL,BOG,88,265866,1058984157
BEL,BOG,364,24582,983257876
BEL,BOG,320,956,382391396
BEL,BOG,360,1080,43199028
BEL,BOG,4332,353284,1413104204
BEL,BOG,11880,16368,6465466392
BEL,BOG,16350,2971,1166346267
BEL,BOG,656,5576,2143866056
BEL,BOG,240,2040,78434124
BEL,BOG,418,651024,2603724916
BEL,BOG,5783,5440,21668336
BEL,BOG,2415,150,5999865
BEL,BOG,16329,667262,256549561
BEL,BOG,1323,717279,2757801471
BEL,BOG,162300,52501,2112225482
BEL,BOG,1200,15708,6282304644
BEL,BOG,86895,170376,6696100287
BLZ,BOG,16,216,84573288
BLZ,BOG,92981,1978359,7763594369
BLZ,BOG,102,310,12137833
BMU,BOG,20,78498,309952492
BMU,BOG,42,238316,941000258
BMU,BOG,100,62594,247154912
BMU,BOG,49,28079,1108710546
BMU,BOG,169,336641,1329240454
BMU,BOG,2,18,710737
BLR,BOG,3384,33705,1333625958
BLR,BOG,26270,2632488,1041612322
BLR,BOG,69500,2370603,9482198645
BLR,BOG,7400,1417,566787247
BLR,BOG,38550,755349,3021328018
BLR,BOG,7700,28335,1128625552
BLR,BOG,3000,570,227039549
BLR,BOG,640,2352,93683688
BLR,BOG,9600,32945,1317770349
BLR,BOG,12800,2432,972778112
BLR,BOG,53250,1773901,7095444348
BLR,BOG,85150,163425,6536852917
BLR,BOG,8000,1440,56629296
BLR,BOG,53200,929999,3657304767
BLR,BOG,1024,32256,1289759385
BLR,BOG,80,184,73572584
BLR,BOG,11250,14625,584986837
BLR,BOG,8875,253738,101457393
BLR,BOG,2400,3348,133870114
BLR,BOG,1200,1632,64574323
BLR,BOG,10800,14688,581168908
BLR,BOG,140,3808,14742481
BLR,BOG,314,47445,183680945
BLR,BOG,655,34548,133750854
BOL,BOG,706,1752764,6920858764
BOL,BOG,121,555477,2193323153
BOL,BOG,80,5847,230871133
BOL,BOG,3,411,16625854
BOL,BOG,14,9478,38340595
BOL,BOG,639,234746,949599214
BOL,BOG,985,365005,1476525525
BOL,BOG,835,1099602,4448132002
BOL,BOG,13,4485,18142811
BOL,BOG,95,37716,152569517
BOL,BOG,31,40238,162771562
BOL,BOG,70,2919,118079971
BOL,BOG,80000,2328,895071768
BOL,BOG,200,31000,121378330
BOL,BOG,32,20736,83881681
BOL,BOG,273,94399,381864722
BOL,BOG,14,5943,24040742
BOL,BOG,282,2009,772422329
BOL,BOG,4,1072942,4201029295
BOL,BOG,43472,95101,376904434
BOL,BOG,560066,1260284,5015418876
BOL,BOG,49385,123392,487218247
BOL,BOG,39541,74067,294528509
BOL,BOG,2669,5984,23628063
BOL,BOG,16065,3066,121213828
BOL,BOG,40035,76334,302938098
BOL,BOG,18445,33617,132738069
BOL,BOG,737,16143,63942295
BOL,BOG,775,1835,72455709
BOL,BOG,605,8435,3359787
BOL,BOG,12552,125914,501462082
BOL,BOG,1786,20136,79963995
BOL,BOG,936,960645,3886020366
BOL,BOG,10032,366168,1433705172
BOL,BOG,63559,5134796,2061000526
BOL,BOG,38358,2867837,1151213813
BOL,BOG,38400,284304,1124672507
BOL,BOG,38291,871296,3524584005
BOL,BOG,114978,7202513,2877889377
BOL,BOG,3342,253276,996030664
BOL,BOG,40,22000,87799360
BOL,BOG,27488,272004,109671316
BOL,BOG,1141,280968,1116518111
BOL,BOG,271528,10093621,401167253
BOL,BOG,16145,5771409,2286901238
BOL,BOG,545,132144,527370846
BOL,BOG,5809,44022,1731204769
BOL,BOG,4424,3352,1318204168
BOL,BOG,346073,15323704,6084597772
BOL,BOG,738,67392,268432444
BOL,BOG,148874,1085952,4325509708
BOL,BOG,589,2364,92560765
BOL,BOG,104,3680,14657992
BOL,BOG,4578,766513,3032233446
BOL,BOG,36,26964,105408612
BOL,BOG,25,14575,58278283
BOL,BOG,29,12826,50338662
BOL,BOG,243,167925,661739722
BOL,BOG,49,30816,123243545
BOL,BOG,166,99947,385947603
BOL,BOG,342,118905,466379799
BOL,BOG,214,91458,357123622
BOL,BOG,638,16077,633317005
BOL,BOG,103,32248,128954509
BOL,BOG,125,39007,155838667
BOL,BOG,80,22968,91129489
BOL,BOG,1587,377896,1497684555
BOL,BOG,449,156011,620874739
BOL,BOG,249,77525,307856484
BOL,BOG,7,6482,25918341
BOL,BOG,23,23943,92056285
BOL,BOG,10,429,17153607
BOL,BOG,73,33668,134621834
BOL,BOG,69,33326,132632463
BOL,BOG,248,218805,850924075
BOL,BOG,92,3174,123910946
BOL,BOG,6,3372,12964699
BOL,BOG,16,9905,39108021
BOL,BOG,402,159841,621973629
BOL,BOG,33,22119,85043352
BOL,BOG,84,36401,140642736
BOL,BOG,142,45596,18235801
BOL,BOG,5379,470784,1869263867
BOL,BOG,24,56628,221722967
BOL,BOG,4,382332,1496994182
BOL,BOG,8,95014,372020666
BOL,BOG,693,1575,6273461
BOL,BOG,462,1227,4887325
BOL,BOG,10748,1658801,6710214981
BOL,BOG,112,567638,2246007332
BOL,BOG,10882,1103226,4462791879
BOL,BOG,12524,532795,2131654258
BOL,BOG,1263,644568,2607419364
BOL,BOG,54593,1251852,5036463484
BOL,BOG,701,60716,242829391
BOL,BOG,6,456,182374
BOL,BOG,82,5555,222168336
BOL,BOG,15,942,3767463
BOL,BOG,7,1942,7766893
BOL,BOG,30,1479,59151569
BOL,BOG,14,7196,28779898
BOL,BOG,143,40083,160309152
BOL,BOG,227,48191,192736531
BOL,BOG,5,52,20797036
BOL,BOG,20,17995,71969742
BOL,BOG,6,162,6479076
BOL,BOG,5,355,14197976
BOL,BOG,58,53534,214105485
BOL,BOG,1397,364,146444844
BOL,BOG,33680,318022,1271906726
BOL,BOG,20624,1157994,4612463801
BOL,BOG,314,1407204,5605104612
BOL,BOG,34,2584,104528484
BOL,BOG,97,64796,262114075
BOL,BOG,16,10048,4064637
BOL,BOG,90,41822,16917919
BOL,BOG,22,10846,43874456
BOL,BOG,59,32196,130239903
BOL,BOG,13,5486,22192076
BOL,BOG,222,4802,194251464
BOL,BOG,21,3423,13846788
BOL,BOG,16,7264,29384478
BOL,BOG,81,23584,95402468
BOL,BOG,13,288,11650233
BOL,BOG,634,134909,545736584
BOL,BOG,198,84793,343006339
BOL,BOG,253,79207,32040974
BOL,BOG,9,936,37863259
BOL,BOG,93,45823,185364116
BOL,BOG,6,2238,9053202
BOL,BOG,66,6348,256790565
BOL,BOG,4,238,9627623
BOL,BOG,36,17044,68946729
BOL,BOG,65,26975,109119809
BOL,BOG,1906,159071,64347719
BOL,BOG,4,463788,1847337172
BOL,BOG,1,184843,736137247
BOL,BOG,1296,14336,547929088
BOL,BOG,924,651,248815455
BOL,BOG,18,252,9631566
BOL,BOG,36,3339,1292677155
BOL,BOG,233,117835,4561923107
BOL,BOG,130,1755,679439474
BOL,BOG,838,401371,1598720898
BOL,BOG,174,41064,163826881
BOL,BOG,559,153585,612735036
BOL,BOG,1356,852048,3298661229
BOL,BOG,729,536509,214042948
BOL,BOG,12,8688,33635157
BOL,BOG,17,1242,48083409
BOL,BOG,1,1518527,5878901354
BOL,BOG,440,213982,844916486
BOL,BOG,123256,1016108,4018431465
BOL,BOG,672,228475,902585335
BOL,BOG,683,18772,7425434
BOL,BOG,33363,4455,1759378384
BOL,BOG,11004,3472,137348153
BOL,BOG,24601,102885,407000713
BOL,BOG,2525,48996,194682726
BOL,BOG,2642,567346,2244740464
BOL,BOG,2325,48528,192013649
BOL,BOG,2724,56868,225013027
BOL,BOG,158575,3335437,1319601907
BOL,BOG,19369,36168,142810794
BOL,BOG,864,4487,17717098
BOL,BOG,6791,141756,56089447
BOL,BOG,26235,1566772,6199340778
BOL,BOG,276,1354004,5357468867
BOL,BOG,968,9451,3731765
BOL,BOG,125,27,10754505
BOL,BOG,988,36096,142823208
BOL,BOG,88793,11686714,4624152249
BOL,BOG,3188,705728,2763228583
BOL,BOG,32,1120,44315712
BOL,BOG,367,5276,2084856714
BOL,BOG,29197,609468,2411518603
BOL,BOG,148,3622,1430161
BOL,BOG,11688,24397,965330737
BOL,BOG,1588,152215,601457057
BOL,BOG,163,3605,14234486
BOL,BOG,484,27755,109591727
BOL,BOG,575,207305,802570942
BOL,BOG,3323,40524,160010634
BOL,BOG,518,3851,1471871455
BOL,BOG,25,2450,9910789
BOL,BOG,20,15638,6325915036
BOL,BOG,21,2163,874981086
BOL,BOG,1207,935847,3727618978
BOL,BOG,300,41661,1592304251
BOL,BOG,322,61328,2418181438
BOL,BOG,166,28672,1130545561
BOL,BOG,9,17845,7036337
BOL,BOG,168,707722,2790569077
BOL,BOG,28,43168,170212719
BOL,BOG,1,240987,95021897
BOL,BOG,100,2272,895856416
BOL,BOG,8,34056,134283829
BOL,BOG,68121,52185339,2047628551
BOL,BOG,132,2748,1075960164
BOL,BOG,20,354,138606222
BOL,BOG,242,8712,3411122616
BOL,BUN,1122958,9253091,3660329961
BOL,BUN,21022,89724,3548117643
BOL,BUN,77902,1935553,7632038163
BOL,BUN,1508,39022,154333468
BOL,BUN,324363,2056399,8126021806
BOL,BUN,5557,20001,78786363
BOL,BUN,46262,160021,626551023
BOL,BUN,15518,88625,348992882
BOL,BUN,29929,1201843,4732946523
BOL,BUN,4117,102855,40344698
BOL,BUN,1822,47006,188019769
BOL,BUN,4409,2232502,8802494781
BOL,BUN,63711,188665,741698402
BOL,BUN,66122,861237,3380405996
BOL,BUN,132205,51804,2065663749
BOL,BUN,4876,57243,228343976
BOL,BUN,1129,2644,103523968
BOL,BUN,424,3361,132353442
BOL,BUN,295,8579,33962607
BOL,BUN,196,15794,63174578
BOL,BUN,50,5893,23428021
BRA,BOG,2051,1142,448322934
BRA,BOG,182500,78575,3089475504
BRA,BOG,3095,6341825,2525631806
BRA,BOG,38725,148235,5963805343
BRA,BOG,8100,963,387435123
BRA,BOG,21675,76455,2922148327
BRA,BOG,41700,14595,581340742
BRA,BOG,4300,1272,505470872
BRA,BOG,31680,3168,1264310784
BRA,BOG,5496,2376188,92508140
BRA,BOG,4736,158400,621841968
BRA,BOG,26100,43272,1694284869
BRA,BOG,20,199178,793226385
BRA,BOG,2088,82476,3262651588
BRA,BOG,78,2132,84339361
BRA,BOG,2400,103114,4079066103
BRA,BOG,3518,108512,4292604505
BRA,BOG,34,1500,59657925
BRA,BOG,188221,959769,3822903892
BRA,BOG,361000,40853,1643601981
BRA,BOG,58399,24628,953460706
BRA,BOG,206601,87128,3373116956
BRA,BOG,68,250992,965016551
BRA,BOG,120,3120,123450912
BRA,BOG,7,37503,1499906233
BRA,BOG,153577,596307,2354542041
BRA,BOG,2,160,638328
BRA,BOG,28935,2054093,8180425372
BRA,BOG,64,3309,13090006
BRA,BOG,598,259173,1036305832
BRA,BOG,446,1546,611579048
BRA,BOG,14,417,164654118
BRA,BOG,53,135929,537718812
BRA,BOG,7000,124948,499605827
BRA,BOG,134,38498,152293468
BRA,BOG,4,147464,570899502
BRA,BOG,1,3763,1488597644
BRA,BOG,19,168,66458784
BRA,BOG,5,1714,678037832
BRA,BOG,2,536,212035168
BRA,BOG,2,4693,1872919984
BRA,BOG,6,502,198585176
BRA,BOG,2,214,84655832
BRA,BOG,4,14,5538232
BRA,BOG,2,42,16614696
BRA,BOG,6,4077,161317105
BRA,BOG,10,4418,1747707784
BRA,BOG,2,6,2373528
BRA,BOG,44,45779,181136516
BRA,BOG,2,60,2373528
BRA,BOG,4,408,161399904
BRA,BOG,1,20000,79970200
BRA,BOG,1,50,1991575
BRA,BOG,972,10752,410946816
BRA,BOG,33,2325,88862662
BRA,BOG,1,120565,482191277
BRA,BOG,1,3819056,1521187291
BRA,BOG,1,2445605,9741211555
BRA,BOG,1,2445605,9741211555
BRA,BOG,2,1544569,6162135253
BRA,BOG,81,896,34245568
BRA,BOG,33,2325,88862662
BRA,BOG,500,1577,610527665
BRA,BOG,15,2597721,9928619548
BRA,BOG,22325,85955,342931112
BRA,BOG,45,1485,59244817
BRA,BOG,932,4219,1680940785
BRA,BOG,1842,105216,419295132
BRA,BOG,29016,1806946,7196162445
BRA,BOG,50,156,61597224
BRA,BOG,48545,1177633,4699791987
BRA,BOG,4,673684,259018698
BRA,BOG,3,1398619,5377424317
BRA,BOG,1,27232,107526641
BRA,BOG,974,477724,189036573
BRA,BOG,1,13777,54399035
BRA,BOG,1,338,133460652
BRA,BOG,1,1235,4876446
BRA,BOG,900,5769,2274734007
BRA,BOG,1,10916,435499278
BRA,BOG,6,555,2219173
BRA,BOG,4,100756,402873872
BRA,BOG,3,120723,482712122
BRA,BOG,1,2086,8340891
BRA,BOG,4,69396,277480599
BRA,BOG,292,898418,3592333355
BRA,BOG,1650,28325,1132577957
BRA,BOG,5,500104,1999670844
BRA,BOG,30,15816,632404341
BRA,BOG,46,17342,6934216
